"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Fournierella"	"FIScore"	"FIScore"	"FIScore"	-5.17640405637879	-0.109824456238188	2.26662079841208	0.0800560317228192	0.869012506296827	0.153703095230433	0.951333957524848	NA	"abundance"	205	21
"Fournierella"	"Sex"	"Female"	"SexFemale"	6.34244512586091	0.120634302437176	2.75245411390465	0.0779512056133529	0.869012506296827	0.149826020770131	0.951333957524848	NA	"abundance"	205	21
"Frisingicoccus"	"Age"	"Age"	"Age"	-0.519452071273575	0.0217147887600172	0.280071331590936	0.0762526999045454	0.869012506296827	0.146690925566358	0.951333957524848	NA	"abundance"	205	95
"Gordonibacter"	"FIScore"	"FIScore"	"FIScore"	0.407386305015785	-0.109824456238188	0.267357666999975	0.0791507419747025	0.869012506296827	0.152036643994259	0.951333957524848	NA	"abundance"	205	24
"Intestinibacter"	"TimeNW"	"TimeNW"	"TimeNW"	-0.65870777569549	-0.0653625359736858	0.301022256248512	0.0967131541592262	0.869012506296827	0.184072874131026	0.951333957524848	NA	"abundance"	205	110
"Izemoplasmatales"	"Location"	"Center"	"LocationCenter"	2.01517899663975	-0.366942410777038	0.800356879140542	0.0673413130843497	0.869012506296827	0.130147773720775	0.951333957524848	NA	"abundance"	205	26
"Lachnoclostridium"	"Location"	"Center"	"LocationCenter"	0.845250513715878	-0.366942410777038	0.564505743232449	0.0746134077648792	0.869012506296827	0.14365965491147	0.951333957524848	NA	"abundance"	205	129
"Lachnospira"	"Sex"	"Female"	"SexFemale"	1.0568380005969	0.120634302437176	0.498921631980695	0.0889418459171129	0.869012506296827	0.169973039879082	0.951333957524848	NA	"abundance"	205	119
"Lachnospiraceae_NC2004_group"	"TimeNW"	"TimeNW"	"TimeNW"	0.317929787944565	-0.0653625359736858	0.133581168935116	0.0879096615664228	0.869012506296827	0.168091214536123	0.951333957524848	NA	"abundance"	205	76
"Lachnospiraceae_UCG-004"	"FIScore"	"FIScore"	"FIScore"	0.384406536385327	-0.109824456238188	0.24547383589832	0.0631114012852557	0.869012506296827	0.122239753598323	0.951333957524848	NA	"abundance"	205	37
"Lacticaseibacillus"	"Location"	"Center"	"LocationCenter"	1.00545036335235	-0.366942410777038	0.692907253555145	0.0861166421533671	0.869012506296827	0.164817208250963	0.951333957524848	NA	"abundance"	205	34
"Lacticaseibacillus"	"Sex"	"Female"	"SexFemale"	-1.20436508650831	0.120634302437176	0.750739715820315	0.0960411318980554	0.869012506296827	0.182858364779851	0.951333957524848	NA	"abundance"	205	34
"Oscillibacter"	"Location"	"Center"	"LocationCenter"	0.910220542904546	-0.366942410777038	0.589065439181444	0.09384195104403	0.869012506296827	0.17887759031231	0.951333957524848	NA	"abundance"	205	22
"Porphyromonas"	"FIScore"	"FIScore"	"FIScore"	1.28562057769467	-0.109824456238188	0.775745062623326	0.100239222209232	0.869012506296827	0.190430542749353	0.951333957524848	NA	"abundance"	205	26
"Prevotella_9"	"Age"	"Age"	"Age"	1.5643640951307	0.0217147887600172	0.66952118006417	0.0981778534770286	0.869012506296827	0.1867168160407	0.951333957524848	NA	"abundance"	205	28
"UC5-1-2E3"	"Age"	"Age"	"Age"	-0.803006975951393	0.0217147887600172	0.287088265449694	0.0638695422740659	0.869012506296827	0.123659766117833	0.951333957524848	NA	"abundance"	205	37
"UCG-003"	"TimeNW"	"TimeNW"	"TimeNW"	0.403093591518523	-0.0653625359736858	0.21695908657625	0.100923535416121	0.869012506296827	0.191661510831352	0.951333957524848	NA	"abundance"	205	66
"UCG-010"	"Age"	"Age"	"Age"	0.778404535296052	0.0217147887600172	0.39833443157355	0.0886685224764697	0.869012506296827	0.169474938074779	0.951333957524848	NA	"abundance"	205	46
