Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Eubacteriales_Family_XIII_Incertae_Sedis	0.02666	0	0	0.06102	0.03031	0	0.86575	0	0	0.0327	0	0	0	0.10084	0.06917	0	0	0.02272	0.06287	0	0.17155	0	0	0	0.00911	0	0	0.1103	0.33806	0	0.13246	0.00539	0.16851	0	0	0.56318	0.25657	0.06756	0.15514	0	0.10665	0.14171	0	0	0.22082	0	0.2395	0	0.63059
Erysipelotrichaceae	0.01553	0.48967	0.12788	0.09846	2.91273	0	5.15158	0	0.05082	0.60527	5.36697	0.33938	0.35203	0.71743	4.77188	0.20796	0.03087	7.37858	0.13075	0.11626	1.04974	1.05136	0.01188	0.013	2.33591	0	1.53819	0.57423	0.1437	0.04911	0.31773	0.11455	0.56977	0.53133	3.38892	1.04048	0.07449	3.53932	0.41283	0.09012	0.15391	1.05505	0.00281	0.47358	0.23479	0.83868	0	1.4332	0
Enterobacteriaceae	0.01344	0.49294	0.2839	0	0.2638	0	0.33846	0	0	0	0	0.06256	0	0.39556	0	0.03645	0	0	0	8.25653	0.1256	0	0.11952	4.07166	8.57373	1.02828	1.26161	1.19995	0.02798	0	0.27806	0	0.34093	0	0	4.64316	0	0.6346	2.16752	0.87924	0.42657	0	4.93461	0	0.36495	54.86656	0	0	20.01954
Porphyromonadaceae	0.00753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.03403	0	0	0	0	0	0	0	0.0649	0.05941	0	0.24711	0.04127	0.0102	0	0	0	0	0	0	0.01705	0	0
FGB4806	0	9.83054	0	0	0	0	0	0	5.25747	7.10785	0	0	1.29095	0	0	0	0	0	0	0	0	1.92673	0	0	0	0	0	0	0	0	0	5.7118	4.52889	0	0	0.34565	0	0	0	0	6.30593	0.59441	0	0	0	0	0.63211	0	0
FGB72899	0	7.38256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonellaceae	0	4.9104	1.18095	0	0	6.04697	4.55431	0	6.95075	3.59848	0	3.1146	0	0	2.64219	0	1.36616	2.06139	6.49956	0	2.73874	0	0	0	2.95984	6.05606	0	3.14348	0.74212	0	0.73656	0	0	0	0	0.18662	0	0	0	0	0	0	0	0	0	0	0	4.15964	0
Firmicutes_unclassified	0	1.46319	1.65577	1.63406	0	0	0.13421	0.06245	1.17798	0	0	0	0.16789	1.30275	0.31966	0.24736	1.05142	0.18087	0.97475	0.15668	0.78941	0	0	0.98603	0	0	0	0.40809	0.00463	0.21391	0	0.27617	0.76833	0	0.81255	0.06973	1.67488	0.53027	0.88242	0.0584	1.63429	0.27538	0	0.41735	0.58629	0.49342	0.02612	4.77491	1.78475
Muribaculaceae	0	1.21669	0	0.29425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13347	0	0	0	0	2.24035	0	0	0	0	0
Candidatus_Borkfalkiaceae	0	0.96981	0.28714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB1354	0	0.96017	0	0	24.81209	0	0	0	0	0	0	0	0	0	3.42138	0	0	3.45274	0	0	0	0	0	0	0	0	0	0	2.49766	0	0	0	2.30712	0	0	1.90145	0	0	3.62732	2.78001	0.19166	0	0	0	0	0	0	0	1.72015
Barnesiellaceae	0	0.6532	0	0.10129	0	0	0	0	0	2.12198	2.76743	1.18408	3.42967	3.03374	0.6923	1.28217	0	0.68158	0	0.55672	1.86427	0.08859	4.64838	1.15975	0	0	0.03482	0	0.66478	4.46141	2.29684	0	0	0	2.3507	0	1.39851	0	0	0.47575	1.19875	0.45695	2.32082	2.00911	0	0	0.17087	0	0
Bifidobacteriaceae	0	0.29821	0	0.03361	0.016	15.73993	2.99402	0	1.18571	0.07963	0.39078	0	0	0	0.28929	0	0.74975	0.38433	0.82578	0	7.95262	0	0	0	0.05548	13.28498	0	0	0.04001	0	4.3329	0	3.85368	0.00294	0	0	2.73406	0.01533	0	0.13941	0.00743	2.77247	0	0.01763	0.5401	0.28631	0.9459	0.1061	0
Odoribacteraceae	0	0.17616	17.46502	0.65468	0.05435	0	0.16525	0	0	3.61773	0.09643	0.53272	1.03625	6.73562	1.00369	0.09522	0	1.32166	0	0.35436	0.26647	14.90842	2.91249	0.40375	0	0	11.05968	0.63187	4.72045	0	0	0	2.10365	0	3.53965	2.1672	0.16528	7.86295	0.60498	4.75338	0	5.76149	0.04345	0.33044	0	0.10791	26.33814	0.02239	0.08938
Bacteroidales_unclassified	0	0.14233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57565	0	0	0	0	0	0	0	0	0	0	0
