Feature ID	Taxon	Confidence
d406a8b3359bba374aacd7cbba9cc14c	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__	0.972352815822743
e10f4a610aecc59870e779ab42428b52	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9993017678653238
95340b9b070c8c11d6dbd2cd93feef06	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__	0.9999904869465318
63ad066c0a96309fcbec53f868a981e9	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9994872167610782
6ee57dae66026ec1ed4716aa9f3aee26	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9996741787673098
dd0f232757962b26f39ddc009dcfff84	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9998385762589436
a305a60a5bfc0e11822529495d603984	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	0.9999889814202979
f1d5f9644202556e91c2c2d091761344	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9990808049202662
e48b047bc9b8ebb47a38908206d6604e	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9997292880434996
ba154ed1d16a4b8de206cd244fb48b01	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9997745532337106
48807c06dc41e7ab8f91c7c0e7818916	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9997861243067173
91d472877906e7e9fa1ec547f7174dd0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9996779699229723
b4dc262848cfbf8e173f3328bdc6ad6e	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9996542739717145
e42085ad2ba29d40b5773ab0d68d8cba	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9994032727159008
